"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore","DraftBin","ExpectedScore","Count","FinalScore"
"66",43,"PHO","Ben Davis",4,40,0.356,0,0.462,3.9,1.4,1.3,0.1,0.1,0.04,"-5.5",-0.1,989,0.15,0.05,0.175,328,0.121951219512195,"F",0.461144340465683,"31-60",2.84208748490106,13,-2.38094314443538
"67",44,"CHH","Malik Rose",13,813,0.437,0.177,0.743,16.5,6.2,4.1,0.8,26.5,0.095,"-2.1",-0.4,990,0.599,0.36,1.303,1066,0.76266416510319,"F",2.05252492975055,"31-60",1.97812928852759,8,0.0743956412229583
"68",48,"PHI","Jamie Feick",5,201,0.424,0.4,0.629,21.5,4.5,7.1,0.7,8.2,0.091,"-2.7",-0.7,994,0.582,0.448,0.756,410,0.490243902439024,"F",1.74000891338259,"31-60",2.71634037853189,6,-0.976331465149304
"69",49,"ORL","Amal McCaskill",4,114,0.377,0,0.609,8.5,1.8,1.9,0.3,0.5,0.024,"-4.7",-0.7,1043,0.211,0.316,0.456,328,0.347560975609756,"C",0.593454232015146,"31-60",1.78761050215189,8,-1.19415627013674
"70",52,"IND","Mark Pope",6,153,0.401,0.179,0.573,10.7,1.9,1.7,0.4,1.3,0.038,"-4.3",-0.9,998,0.209,0.294,0.307,492,0.310975609756098,"C",0.655178387657341,"31-60",1.51513256263103,6,-0.859954174973691
"71",54,"UTA","Shandon Anderson",10,719,0.457,0.316,0.739,22.2,7.4,3.1,1.4,23.6,0.071,"-1.3",3,1000,0.773,0.25,1.332,820,0.876829268292683,"G",2.95481497206739,"31-60",1.67500279338165,3,1.27981217868574
"72",57,"SEA","Drew Barry",3,60,0.417,0.381,0.774,10,2.2,1.1,1.9,0.6,0.051,"-3.5",-0.2,1003,0.317,0.033,0.917,246,0.24390243902439,"G",1.23348196382937,"31-60",3.13265278581859,3,-1.89917082198922
"73",1,"SAS","Tim Duncan",19,1392,0.506,0.179,0.696,34,19,10.8,3,206.4,0.209,"5.6",91.1,1495,0.736,2.17,2.429,1558,0.893453145057766,"F",6.75155002524987,"1-15",5.40227744981826,21,1.34927257543161
"74",2,"PHI","Keith Van Horn",9,575,0.443,0.361,0.835,31.6,16,6.8,1.6,41.7,0.11,"0.1",9.6,1496,0.821,0.513,2.195,738,0.779132791327913,"F",5.06585830688892,"1-15",4.31202007317063,20,0.753838233718292
"75",3,"BOS","Chauncey Billups",17,1043,0.415,0.387,0.894,31.6,15.2,2.9,5.4,120.8,0.176,"3.2",43.5,1497,1.008,0.161,2.05,1394,0.748206599713056,"G",6.1940333967857,"1-15",5.18058806678938,21,1.01344532999632
"76",4,"VAN","Antonio Daniels",13,872,0.444,0.311,0.793,22.6,7.6,1.8,3.4,47,0.115,"0",10.1,1498,0.647,0.097,1.064,1066,0.818011257035647,"G",3.34208788808053,"1-15",4.84432781908783,21,-1.50223993100729
"77",5,"DEN","Tony Battie",14,837,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,0.099,"-1.8",0.8,1499,0.502,0.852,0.841,1148,0.729094076655052,"C",1.74762459608283,"1-15",4.12639751013355,21,-2.37877291405073
"78",6,"BOS","Ron Mercer",8,432,0.429,0.25,0.808,31.1,13.6,3.1,2.1,9.4,0.034,"-2.7",-2.5,1500,1.056,0.262,1.581,656,0.658536585365854,"F",4.49560068171449,"1-15",3.75387095989043,21,0.741729721824054
"79",7,"NJN","Tim Thomas",13,824,0.437,0.369,0.758,25.9,11.5,4.1,1.5,35.2,0.079,"-0.8",6.4,1501,0.739,0.364,1.477,1066,0.772983114446529,"F",3.7618030388327,"1-15",4.39397812840409,21,-0.564253444147385
"80",8,"GSW","Adonal Foyle",12,733,0.477,0,0.499,17.8,4.1,4.7,0.5,18.7,0.069,"-1.7",1.1,1502,0.36,1.628,0.814,984,0.744918699186992,"C",1.4056443681218,"1-15",3.46277602238357,20,-2.05713165426176
"81",9,"TOR","Tracy McGrady",15,938,0.435,0.338,0.746,32.7,19.6,5.6,4.4,97.3,0.152,"5.2",55.7,1503,1.211,0.86,2.163,1230,0.76260162601626,"G",7.68909063396224,"1-15",4.12142597603224,20,3.56766465793
"82",10,"MIL","Danny Fortson",10,440,0.472,0.167,0.785,20.1,8.2,7.2,0.7,22.3,0.121,"-3.2",-2.6,1504,0.414,0.214,1.489,820,0.536585365853659,"C",2.1770533314548,"1-15",3.85756897884724,21,-1.68051564739244
"83",11,"SAC","Tariq Abdul-Wahad",6,236,0.417,0.237,0.703,20.4,7.8,3.3,1.1,3.5,0.035,"-3",-1.2,1505,0.78,0.352,1.309,492,0.479674796747967,"F",2.57338830898222,"1-15",2.79711748836319,20,-0.223729179380971
"84",12,"IND","Austin Croshere",12,659,0.407,0.34,0.861,17.4,6.8,4,1,27.6,0.115,"-0.1",5.6,1506,0.372,0.328,0.995,984,0.669715447154472,"F",2.33028590173332,"1-15",2.48895296394094,19,-0.158667062207627
"85",13,"CLE","Derek Anderson",11,615,0.408,0.341,0.853,29.2,12,3.2,3.4,43.9,0.117,"1",13.5,1507,1.124,0.141,1.711,902,0.681818181818182,"G",4.81935243823427,"1-15",3.716678058383,21,1.10267437985127
"86",14,"LAC","Maurice Taylor",9,534,0.466,0.152,0.711,25,11,4.6,1.2,9.9,0.036,"-3.6",-5.3,1508,0.461,0.485,1.822,738,0.723577235772358,"F",3.49294126998059,"1-15",3.25489603167226,21,0.238045238308322
"87",15,"DAL","Kelvin Cato",10,541,0.507,0.077,0.644,19.6,5.5,5.3,0.5,28.6,0.129,"-0.3",4.4,1509,0.54,1.266,0.828,820,0.659756097560976,"C",1.66777005902541,"1-15",3.12037900468881,20,-1.4526089456634
"88",16,"CLE","Brevin Knight",12,729,0.412,0.134,0.789,24.9,7.3,2.4,6.1,32.6,0.086,"0.3",10.5,1510,1.686,0.119,1.875,984,0.740853658536585,"G",3.97518508341905,"16-30",3.05187191900081,18,0.923313164418237
"89",17,"ORL","Johnny Taylor",3,54,0.402,0.394,0.718,16,4.7,2.2,0.5,0.1,0.007,"-4",-0.4,1511,0.593,0.37,0.815,246,0.219512195121951,"F",1.52639681794483,"16-30",2.90041503188993,21,-1.3740182139451
"90",18,"POR","Chris Anstey",3,155,0.413,0.138,0.755,13.9,5.2,3.4,0.8,2.8,0.062,"-2.9",-0.5,1512,0.503,0.419,0.948,246,0.630081300813008,"C",1.4419269400572,"16-30",2.94249623314111,19,-1.50056929308391
"91",19,"DET","Scot Pollard",11,506,0.494,0,0.709,16.5,4.4,4.6,0.4,26.6,0.153,"-0.6",2.9,1513,0.591,0.696,0.601,902,0.560975609756098,"C",1.35736027820534,"16-30",2.72321618088366,19,-1.36585590267832
"92",21,"NJN","Anthony Parker",9,494,0.444,0.404,0.794,27.8,9.1,3.2,2.3,24.5,0.085,"-0.2",6.1,1515,0.889,0.172,1.002,738,0.669376693766938,"G",3.7389005196165,"16-30",3.55641440446149,15,0.18248611515501
"93",23,"SEA","Bobby Jackson",12,755,0.417,0.354,0.793,22.2,9.7,3.1,2.6,31.4,0.09,"0.4",10,1517,0.932,0.09,1.343,984,0.767276422764228,"G",3.93884601102846,"16-30",2.8526232644035,19,1.08622274662496
"94",24,"HOU","Rodrick Rhodes",3,72,0.347,0.2,0.62,17.1,5.3,1.2,1.7,-1.6,-0.064,"-6.3",-1.3,1518,0.958,0.167,1.653,246,0.292682926829268,"G",2.10118664550244,"16-30",3.01275508091882,20,-0.911568435416379
"95",25,"NYK","John Thomas",5,208,0.502,0,0.591,10.8,2.7,2.1,0.3,3.2,0.067,"-4.4",-1.4,1519,0.332,0.24,0.514,410,0.507317073170732,"C",0.756509050038561,"16-30",2.46676606636341,20,-1.71025701632485
"96",26,"MIA","Charles Smith",5,142,0.409,0.288,0.606,13.9,5.1,1.4,0.9,1.5,0.036,"-1.1",0.4,293,3.254,5.556,7.296,410,0.346341463414634,"F",1.59227042602022,"16-30",2.63290018518975,17,-1.04062975916953
"97",27,"UTA","Jacque Vaughn",12,776,0.429,0.352,0.779,16.3,4.5,1.3,2.5,15.4,0.058,"-3.4",-4.5,1521,0.519,0.019,1.021,984,0.788617886178862,"G",2.10976022841968,"16-30",2.75816560979671,18,-0.648405381377025
"98",38,"GSW","Marc Jackson",7,387,0.446,0.226,0.814,19.6,8.4,4.3,0.8,13,0.082,"-2.7",-1.4,1531,0.38,0.264,1.207,574,0.674216027874564,"F",2.67089237123912,"31-60",2.46860903017935,15,0.202283341059768
"99",40,"SAC","Anthony Johnson",13,793,0.414,0.356,0.745,19.6,5.6,1.7,2.9,23.2,0.072,"-1.5",2,1533,0.695,0.116,1.092,1066,0.74390243902439,"G",2.60372256416237,"31-60",3.2073762089899,12,-0.603653644827537
"100",43,"PHO","Stephen Jackson",14,858,0.414,0.333,0.798,31.9,15.1,3.9,3.1,36.1,0.063,"-0.4",11.2,1536,1.293,0.369,2.495,1148,0.747386759581881,"F",5.19456500184573,"31-60",2.84208748490106,13,2.35247751694466
"101",45,"CLE","Cedric Henderson",5,260,0.436,0.14,0.715,23.8,7.3,2.9,1.6,3.3,0.026,"-2.8",-1.3,76990,0.877,1.581,0.388,410,0.634146341463415,"F",2.90916763158995,"31-60",2.582195029983,9,0.326972601606948
"102",48,"POR","Alvin Williams",9,460,0.421,0.313,0.76,27.4,9,2.5,4.1,21.7,0.082,"-0.4",4.9,1541,1.193,0.237,1.354,738,0.623306233062331,"G",4.04340225653593,"31-60",2.71634037853189,6,1.32706187800405
"103",49,"WAS","Predrag Drobnjak",4,278,0.425,0.34,0.799,19.9,7.9,3.5,0.8,5.6,0.048,"-3",-1.3,1542,0.475,0.421,0.871,328,0.847560975609756,"C",1.92378691138215,"31-60",1.78761050215189,8,0.136176409230261
