"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore","DraftBin","ExpectedScore","Count","FinalScore"
"142",41,"HOU","Cuttino Mobley",11,747,0.433,0.378,0.835,37,16,3.9,2.7,52.2,0.091,"-0.1",12.9,1749,1.175,0.419,2.035,902,0.828159645232816,"G",5.94032560707749,"31-60",3.19333533101523,8,2.74699027606226
"143",43,"WAS","Jahidi White",7,334,0.51,0,0.534,17.7,5.9,5.8,0.2,10.4,0.085,"-3.2",-1.8,1751,0.356,1.063,1.189,574,0.581881533101045,"C",1.58808578796752,"31-60",2.84208748490106,13,-1.25400169693355
"144",44,"NYK","Sean Marks",11,230,0.448,0.2,0.665,9.9,2.8,2.2,0.2,2.6,0.055,"-5",-1.7,1752,0.143,0.378,0.504,902,0.254988913525499,"F",0.928225835093883,"31-60",1.97812928852759,8,-1.04990345343371
"145",52,"SAS","Derrick Dial",4,82,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.6,0.045,"-2.2",0,1760,0.256,0.134,0.427,328,0.25,"G",1.35271006683,"31-60",1.51513256263103,6,-0.162422495801033
"146",53,"DAL","Greg Buckner",10,570,0.45,0.334,0.757,19.1,5,2.8,1.3,20.9,0.092,"-0.9",3,1761,0.796,0.195,0.691,820,0.695121951219512,"G",2.23297374596929,"31-60",1.70661382488415,6,0.526359921085139
"147",54,"DEN","Tremaine Fowlkes",4,103,0.409,0.2,0.791,12,2.9,2.2,0.5,2.1,0.08,"-2",0,1762,0.456,0.058,0.485,328,0.314024390243902,"F",1.02455399296966,"31-60",1.67500279338165,3,-0.650448800411992
"148",55,"DEN","Ryan Bowen",10,507,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,0.092,"-0.8",2,1763,0.641,0.272,0.331,820,0.618292682926829,"F",0.994594954829903,"31-60",2.05344127678194,6,-1.05884632195204
"149",58,"CHI","Maceo Baston",4,105,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2.3,0.134,"-1.2",0.2,1766,0.229,0.41,0.514,328,0.320121951219512,"F",0.892355238986293,"31-60",1.67734968765244,4,-0.784994448666146
"150",1,"CHI","Elton Brand",17,1058,0.5,0.095,0.736,33,15.9,8.5,2.1,109.6,0.151,"2.2",37.3,1882,0.888,1.728,1.947,1394,0.75896700143472,"F",5.48239983536552,"1-15",5.40227744981826,21,0.0801223855472619
"151",2,"VAN","Steve Francis",9,576,0.429,0.341,0.797,37.6,18.1,5.6,6,54.1,0.12,"2.2",22.7,1883,1.469,0.387,3.524,738,0.780487804878049,"G",7.45795237108217,"1-15",4.31202007317063,20,3.14593229791154
"152",3,"CHH","Baron Davis",13,835,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106,"2.6",33.1,1884,1.832,0.431,2.764,1066,0.783302063789869,"G",7.02325300614985,"1-15",5.18058806678938,21,1.84266493936047
"153",4,"LAC","Lamar Odom",14,961,0.463,0.312,0.693,33.4,13.3,8.4,3.7,77,0.115,"1.9",31.4,1885,0.882,0.928,2.344,1148,0.837108013937282,"F",5.17199548031606,"1-15",4.84432781908783,21,0.327667661228234
"154",5,"TOR","Jonathan Bender",8,262,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047,"-2.6",-0.6,1886,0.164,0.645,0.985,656,0.399390243902439,"F",1.80124139781354,"1-15",4.12639751013355,21,-2.32515611232002
"155",6,"MIN","Wally Szczerbiak",10,651,0.485,0.406,0.86,30.8,14.1,4,2.4,53.3,0.127,"0.7",13.6,1887,0.596,0.246,1.49,820,0.79390243902439,"G",5.31147938882137,"1-15",3.75387095989043,21,1.55760842893093
"156",7,"WAS","Richard Hamilton",14,921,0.449,0.346,0.852,32.1,17.1,3.1,3.4,62.8,0.102,"-0.2",13.2,1888,0.775,0.142,2.147,1148,0.802264808362369,"G",6.27239351501944,"1-15",4.39397812840409,21,1.94633703203935
"157",8,"CLE","Andre Miller",17,1304,0.461,0.217,0.807,30.9,12.5,3.7,6.5,100.8,0.12,"1.3",33.4,1889,1.186,0.174,2.393,1394,0.935437589670014,"G",5.72874151656005,"1-15",3.46277602238357,20,2.26596549417648
"158",9,"PHO","Shawn Marion",16,1163,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,0.15,"2.7",47.6,1890,1.512,1.06,1.505,1312,0.886432926829268,"G",6.27327030402444,"1-15",4.12142597603224,20,2.1518443279922
"159",10,"ATL","Jason Terry",19,1410,0.444,0.38,0.845,29.8,13.4,2.3,3.8,102,0.116,"1.5",37.4,1891,1.137,0.195,1.713,1558,0.905006418485237,"G",5.23041884862628,"1-15",3.85756897884724,21,1.37284986977904
"160",11,"CLE","Trajan Langdon",3,119,0.416,0.396,0.91,14.6,5.4,1.3,1.3,2.9,0.079,"-1.1",0.4,1892,0.471,0.118,0.824,246,0.483739837398374,"G",2.11378242428298,"1-15",2.79711748836319,20,-0.683335064080215
"161",13,"SEA","Corey Maggette",14,827,0.453,0.324,0.822,28.2,16,4.9,2.1,62.2,0.128,"0.3",13.3,1894,0.713,0.168,2.266,1148,0.720383275261324,"F",5.11826291605692,"1-15",3.716678058383,21,1.40158485767392
"162",14,"MIN","William Avery",3,142,0.33,0.255,0.714,8.5,2.7,0.7,1.4,-0.9,-0.034,"-5.6",-1.1,1895,0.239,0.042,0.746,246,0.577235772357724,"G",1.22356380728537,"1-15",3.25489603167226,21,-2.0313322243869
"163",16,"CHI","Metta World Peace",17,991,0.414,0.339,0.715,31.7,13.2,4.5,2.7,61.1,0.093,"1.2",25.4,1897,1.737,0.527,1.807,1394,0.71090387374462,"F",4.66233534433417,"16-30",3.05187191900081,18,1.61046342533336
"164",17,"ATL","Cal Bowdler",3,142,0.404,0.182,0.768,9.7,3,1.9,0.2,1.8,0.061,"-3.2",-0.4,1898,0.296,0.317,0.303,246,0.577235772357724,"F",0.998537609029366,"16-30",2.90041503188993,21,-1.90187742286057
"165",18,"DEN","James Posey",12,864,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,0.107,"0.3",13.7,1899,1.061,0.345,1.135,984,0.878048780487805,"F",3.06123958716732,"16-30",2.94249623314111,19,0.118743354026211
"166",19,"UTA","Quincy Lewis",4,159,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02,"-4.9",-1.4,1900,0.371,0.226,0.616,328,0.484756097560976,"G",1.41777371897141,"16-30",2.72321618088366,19,-1.30544246191225
"167",20,"ATL","Dion Glover",6,294,0.411,0.317,0.756,20.9,8.2,3.1,1.5,5.8,0.045,"-1.8",0.3,1901,0.793,0.221,1.259,492,0.597560975609756,"G",3.22352208708815,"16-30",2.66942577373078,19,0.554096313357367
"168",21,"GSW","Jeff Foster",13,764,0.497,0.13,0.615,20.6,4.9,6.9,0.9,47.5,0.145,"-0.4",6.3,1902,0.664,0.403,0.802,1066,0.716697936210131,"F",1.90082435860915,"16-30",3.55641440446149,15,-1.65559004585234
"169",22,"HOU","Kenny Thomas",11,632,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086,"-1.3",3.1,1903,0.834,0.437,1.668,902,0.700665188470067,"F",3.22852004188905,"16-30",2.46886810084039,17,0.759651941048663
"170",23,"LAL","Devean George",11,630,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075,"-1.5",1.4,1904,0.692,0.365,0.71,902,0.698447893569845,"F",1.97417286160955,"16-30",2.8526232644035,19,-0.878450402793957
"171",24,"UTA","Andrei Kirilenko",13,797,0.474,0.31,0.754,30,11.8,5.5,2.7,75.4,0.151,"4.9",41.7,1905,1.376,1.833,1.905,1066,0.74765478424015,"F",4.4818748498996,"16-30",3.01275508091882,20,1.46911976898078
"172",25,"MIA","Tim James",3,43,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0,-0.003,"-7",-0.3,1906,0.047,0.209,0.302,246,0.17479674796748,"F",0.597607374703512,"16-30",2.46676606636341,20,-1.8691586916599
"173",26,"IND","Vonteego Cummings",3,199,0.383,0.321,0.726,19,6.9,1.9,2.7,2.2,0.028,"-2.4",-0.3,1907,0.884,0.161,1.302,246,0.808943089430894,"G",2.96683603510346,"16-30",2.63290018518975,17,0.333935849913717
"174",27,"ATL","Jumaine Jones",8,471,0.424,0.349,0.704,20.8,7.1,4.2,0.9,15.1,0.074,"-1.2",2.1,1908,0.652,0.306,0.824,656,0.717987804878049,"F",2.40581547448817,"16-30",2.75816560979671,18,-0.352350135308538
"175",28,"UTA","Scott Padgett",8,448,0.41,0.373,0.736,12.5,4.2,2.7,0.7,13.2,0.113,"-0.4",2.3,1909,0.406,0.192,0.565,656,0.682926829268293,"F",1.49347506027502,"16-30",2.42838908895637,17,-0.934914028681343
"176",32,"CHI","Michael Ruffin",9,414,0.407,0,0.459,14.4,1.7,3.9,0.6,6.8,0.055,"-3.3",-2,1913,0.481,0.466,0.659,738,0.560975609756098,"F",0.817478805265342,"31-60",2.19624475321621,11,-1.37876594795086
"177",34,"NJN","Evan Eschmeyer",4,153,0.463,0,0.621,14,2.8,3.9,0.5,4,0.09,"-3",-0.5,1915,0.451,0.621,0.627,328,0.466463414634146,"C",1.04308421703151,"31-60",2.17911092621254,12,-1.13602670918103
"178",35,"WAS","Calvin Booth",10,366,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8,0.086,"-1.8",0.3,1916,0.276,0.978,0.492,820,0.446341463414634,"C",1.04037529099422,"31-60",2.27861211179468,12,-1.23823682080046
"179",36,"DAL","Wang Zhizhi",5,137,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,"-1.6",0.1,NA,0.182,0.255,0.496,410,0.334146341463415,"C",1.00878679747695,"31-60",1.85651999136716,11,-0.847733193890208
"180",37,"VAN","Obinna Ekezie",4,143,0.423,0,0.72,10.6,3.6,2.7,0.2,1.7,0.054,"-5.4",-1.3,1918,0.266,0.189,0.664,328,0.435975609756098,"F",1.11722221822634,"31-60",2.12535211082682,11,-1.00812989260048
"181",38,"ORL","Laron Profit",4,135,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021,"-2.1",0,1919,0.519,0.185,0.859,328,0.411585365853659,"G",1.4783076251958,"31-60",2.46860903017935,15,-0.990301404983546
"182",40,"DAL","Gordan Giricek",6,384,0.442,0.368,0.823,23,9.6,2.5,1.5,8,0.044,"-2.5",-1.1,1921,0.578,0.122,1.346,492,0.780487804878049,"G",3.53856478127617,"31-60",3.2073762089899,12,0.331188572286268
"183",41,"DEN","Francisco Elson",9,472,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,"-2.7",-1.3,1922,0.483,0.54,0.752,738,0.639566395663957,"C",1.17354106772396,"31-60",3.19333533101523,8,-2.01979426329127
"184",43,"CHH","Lee Nailon",6,306,0.474,0.111,0.786,19,8.6,3.1,1,8,0.066,"-2",0,1924,0.435,0.173,1.046,492,0.621951219512195,"F",2.76261861639768,"31-60",2.84208748490106,13,-0.0794688685033815
"185",47,"PHI","Todd MacCulloch",4,223,0.541,0,0.642,15.4,6.1,4,0.5,11.9,0.166,"0.3",2,1928,0.274,0.794,0.691,328,0.679878048780488,"C",1.61475436095171,"31-60",2.51722662741152,9,-0.902472266459811
"186",53,"MIA","Rodney Buford",5,230,0.412,0.3,0.758,18.2,6.4,2.6,0.8,2.9,0.033,"-3.8",-1.9,1934,0.5,0.135,0.609,410,0.560975609756098,"F",2.12038176212834,"31-60",1.70661382488415,6,0.413767937244188
"187",57,"SAS","Manu Ginobili",16,1057,0.447,0.369,0.827,25.4,13.3,3.5,3.8,106.4,0.19,"5",47.6,1938,1.317,0.302,2.002,1312,0.805640243902439,"G",5.34648252285554,"31-60",3.13265278581859,3,2.21382973703695
"188",1,"NJN","Kenyon Martin",15,757,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,"0.1",12.1,2030,1.18,1.141,1.741,1230,0.615447154471545,"F",4.29431989176007,"1-15",5.40227744981826,21,-1.10795755805819
"189",2,"VAN","Stromile Swift",9,547,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,"-1.6",1.1,2031,0.647,1.249,1.261,738,0.741192411924119,"F",2.70378504247686,"1-15",4.31202007317063,20,-1.60823503069376
"190",3,"LAC","Darius Miles",7,446,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,"-1",3,2032,0.861,1.11,2,574,0.777003484320557,"F",3.57376388558981,"1-15",5.18058806678938,21,-1.60682418119957
"191",4,"CHI","Marcus Fizer",6,289,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,"-3.7",-2.6,2033,0.464,0.28,1.481,492,0.58739837398374,"F",3.12103156284876,"1-15",4.84432781908783,21,-1.72329625623907
"192",5,"ORL","Mike Miller",17,1032,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,"0.8",19.8,2034,0.555,0.222,1.513,1394,0.740315638450502,"G",4.32080320595376,"1-15",4.12639751013355,21,0.194405695820203
"193",6,"ATL","DerMarr Johnson",7,344,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052,"-1.6",0.6,2035,0.576,0.433,1.015,574,0.599303135888502,"F",2.07446455012133,"1-15",3.75387095989043,21,-1.6794064097691
"194",7,"CHI","Chris Mihm",8,436,0.459,0.231,0.704,20.1,7.5,5.3,0.5,13.3,0.073,"-3.9",-4.3,2036,0.294,1.018,1.227,656,0.664634146341463,"C",1.91479014477412,"1-15",4.39397812840409,21,-2.41126633820596
"195",8,"CLE","Jamal Crawford",20,1327,0.41,0.348,0.862,29.4,14.6,2.2,3.4,60.7,0.075,"-0.1",18.4,2037,0.888,0.204,1.866,1640,0.809146341463415,"G",5.44529718067595,"1-15",3.46277602238357,20,1.98252115829238
"196",9,"HOU","Joel Przybilla",13,592,0.552,0,0.557,19.8,3.9,6.2,0.4,23,0.094,"-1.7",0.8,2038,0.265,1.412,0.97,1066,0.555347091932458,"C",1.43963175132899,"1-15",4.12142597603224,20,-2.68179422470325
"197",10,"ORL","Keyon Dooling",13,728,0.416,0.349,0.799,19.4,7,1.3,2.2,18.5,0.063,"-2",-0.2,2039,0.636,0.103,1.103,1066,0.682926829268293,"G",2.79533971198002,"1-15",3.85756897884724,21,-1.06222926686722
"198",11,"BOS","Jerome Moiso",5,145,0.489,0,0.593,9.6,2.7,2.7,0.3,2.1,0.074,"-2.9",-0.3,2040,0.31,0.469,0.717,410,0.353658536585366,"F",0.933974504697781,"1-15",2.79711748836319,20,-1.86314298366541
"199",12,"DAL","Etan Thomas",9,409,0.513,0,0.603,17.3,5.7,4.7,0.4,14.9,0.101,"-2.1",-0.2,2041,0.313,1.044,0.941,738,0.55420054200542,"C",1.55953559421808,"1-15",2.48895296394094,19,-0.929417369722863
"200",13,"ORL","Courtney Alexander",3,187,0.422,0.339,0.813,21.7,9,2.2,1.2,4.1,0.048,"-3.7",-1.7,2042,0.594,0.096,1.086,246,0.760162601626016,"G",3.27095999214739,"1-15",3.716678058383,21,-0.445718066235609
"201",14,"DET","Mateen Cleaves",6,167,0.389,0.267,0.728,11.2,3.6,1,1.9,-0.8,-0.021,"-5.6",-1.7,2043,0.401,0.03,1.204,492,0.339430894308943,"G",1.61429672434063,"1-15",3.25489603167226,21,-1.64059930733163
"202",15,"MIL","Jason Collier",5,151,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,"-5.4",-1.9,2044,0.238,0.212,0.795,410,0.368292682926829,"C",1.2776822850959,"1-15",3.12037900468881,20,-1.84269671959291
"203",16,"SAC","Hedo Turkoglu",15,997,0.426,0.384,0.784,26.8,11.1,4,2.8,63.3,0.114,"0.9",19.6,2045,0.752,0.3,1.583,1230,0.810569105691057,"F",4.09629906343637,"16-30",3.05187191900081,18,1.04442714443555
"204",17,"SEA","Desmond Mason",10,643,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.056,"-2.4",-2.1,2046,0.686,0.358,1.605,820,0.784146341463415,"G",4.57546714413995,"16-30",2.90041503188993,21,1.67505211225002
"205",18,"LAC","Quentin Richardson",13,783,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076,"-0.4",8.5,2047,0.775,0.189,1.109,1066,0.734521575984991,"F",3.47496106509077,"16-30",2.94249623314111,19,0.532464831949669
"206",19,"CHH","Jamaal Magloire",12,680,0.48,0,0.639,21.5,7.2,6.5,0.6,27.7,0.091,"-2.9",-3.1,2048,0.329,0.887,1.468,984,0.691056910569106,"C",1.96513978317654,"16-30",2.72321618088366,19,-0.758076397707126
"207",20,"PHI","Speedy Claxton",7,334,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,"-0.3",3.6,2049,1.506,0.12,1.737,574,0.581881533101045,"G",4.14995556746252,"16-30",2.66942577373078,19,1.48052979373174
"208",21,"TOR","Morris Peterson",11,711,0.418,0.373,0.773,27.2,10.7,3.5,1.5,35.7,0.089,"-0.4",7.6,2050,0.899,0.191,1.007,902,0.788248337028825,"G",4.06674566252643,"16-30",3.55641440446149,15,0.510331258064938
"209",22,"NYK","Donnell Harvey",5,205,0.46,0.1,0.659,16.2,5.6,4,0.8,4.7,0.069,"-2.6",-0.5,2051,0.473,0.39,1.02,410,0.5,"F",1.919500814213,"16-30",2.46886810084039,17,-0.54936728662739
"210",23,"UTA","DeShawn Stevenson",13,824,0.406,0.34,0.698,22.3,7.2,2.2,1.6,12.1,0.032,"-2.7",-3.5,2052,0.513,0.163,0.988,1066,0.772983114446529,"F",2.5733996292327,"16-30",2.8526232644035,19,-0.279223635170807
"211",24,"CHI","Dalibor Bagaric",3,95,0.361,0,0.559,10.2,2.6,2.5,0.4,-0.9,-0.043,"-7.9",-1.5,2053,0.305,0.453,0.758,246,0.386178861788618,"C",0.788043290569829,"16-30",3.01275508091882,20,-2.22471179034899
"212",25,"PHO","Jake Tsakalidis",7,315,0.49,0,0.657,15.9,4.8,3.9,0.3,9.9,0.095,"-3.1",-1.4,2054,0.232,0.708,0.851,574,0.548780487804878,"C",1.27452834422707,"16-30",2.46676606636341,20,-1.19223772213633
"213",26,"DEN","Mamadou N'Diaye",5,69,0.427,0,0.736,12.4,3.8,3.3,0.1,1.8,0.101,"-4.2",-0.5,NA,0.246,0.928,0.58,410,0.168292682926829,"C",1.0289092832149,"16-30",2.63290018518975,17,-1.60399090197484
"214",27,"IND","Primoz Brezec",8,342,0.498,0.167,0.701,18.1,7.2,3.9,0.5,10.8,0.084,"-3.1",-1.7,2056,0.202,0.392,0.801,656,0.521341463414634,"C",1.73316085866422,"16-30",2.75816560979671,18,-1.02500475113249
"215",29,"LAL","Mark Madsen",9,453,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.074,"-4.1",-2.9,2058,0.256,0.225,0.455,738,0.613821138211382,"F",0.834246051013171,"16-30",1.86228316485971,16,-1.02803711384654
"216",30,"LAC","Marko Jaric",7,447,0.404,0.344,0.73,25.2,7.1,2.7,3.6,12.1,0.052,"-0.7",3.8,2060,1.304,0.286,1.584,574,0.778745644599303,"G",3.36333379839099,"16-30",2.5273441285607,13,0.835989669830284
"217",31,"DAL","Dan Langhi",4,133,0.391,0.289,0.613,9.4,3,1.5,0.3,0.3,0.012,"-4.6",-0.8,2061,0.226,0.09,0.263,328,0.405487804878049,"F",0.992059710088171,"31-60",2.89122383043389,15,-1.89916412034572
"218",32,"CHI","A.J. Guyton",3,80,0.377,0.378,0.822,15.6,5.5,1,1.8,0.3,0.01,"-2.9",-0.3,2062,0.25,0.15,0.775,246,0.32520325203252,"G",2.21401654029249,"31-60",2.19624475321621,11,0.0177717870762817
"219",33,"CHI","Jake Voskuhl",9,450,0.487,0.333,0.714,14.3,4,3.4,0.5,11.6,0.087,"-3.8",-3,2063,0.329,0.369,0.756,738,0.609756097560976,"C",1.16256180004041,"31-60",1.91168645371807,12,-0.749124653677651
"220",37,"MIA","Eddie House",11,717,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20,0.077,"0",6.1,2067,0.656,0.081,0.794,902,0.79490022172949,"G",2.88898294421094,"31-60",2.12535211082682,11,0.763630833384119
"221",38,"HOU","Eduardo Najera",12,619,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106,"-0.9",3,2059,0.721,0.373,0.649,984,0.629065040650406,"F",1.77218376057876,"31-60",2.46860903017935,15,-0.696425269600594
"222",39,"NYK","Lavor Postell",3,61,0.335,0.25,0.795,7.3,3.2,0.7,0.2,-0.2,-0.025,"-5",-0.3,2068,0.197,0.033,0.574,246,0.247967479674797,"G",1.09248703771612,"31-60",2.5674822870241,11,-1.47499524930798
"223",42,"SEA","Olumide Oyedeji",3,93,0.495,0,0.659,6.3,1.4,2.1,0.1,1.2,0.095,"-4.3",-0.3,2071,0.172,0.161,0.323,246,0.378048780487805,"C",0.485295724874317,"31-60",2.5964683618649,8,-2.11117263699058
"224",43,"MIL","Michael Redd",12,629,0.447,0.38,0.838,32,19,3.8,2.1,55.9,0.134,"2.2",21.4,2072,0.921,0.105,1.531,984,0.639227642276423,"G",6.69111179304015,"31-60",2.84208748490106,13,3.84902430813908
"225",44,"DET","Brian Cardinal",12,456,0.408,0.372,0.861,14.2,4.6,2.3,1,15.4,0.114,"-0.1",3.2,2073,0.647,0.151,0.724,984,0.463414634146341,"F",1.6696917997722,"31-60",1.97812928852759,8,-0.308437488755395
"226",45,"SAC","Jabari Smith",4,108,0.413,0.125,0.69,9.8,3,1.6,0.6,1.3,0.058,"-4.3",-0.6,2074,0.343,0.241,0.5,328,0.329268292682927,"C",0.869941424823244,"31-60",2.582195029983,9,-1.71225360515976
"227",49,"MIL","Jason Hart",9,341,0.417,0.315,0.788,15.5,4.8,1.7,2.3,8.6,0.078,"-1.2",1,2078,0.742,0.1,0.806,738,0.462059620596206,"G",2.24522141562294,"31-60",1.78761050215189,8,0.457610913471057
"228",50,"UTA","Kaniel Dickens",3,19,0.4,0.333,0.75,4.5,1.2,0.6,0.1,0.1,0.055,"-3",0,2079,0.105,0.105,0.105,246,0.0772357723577236,"F",0.408584812113366,"31-60",1.66187974544003,7,-1.25329493332667
"229",1,"WAS","Kwame Brown",12,607,0.492,0.111,0.57,22.1,6.6,5.5,0.9,20.8,0.074,"-2.4",-1.3,2198,0.534,0.619,1.27,984,0.616869918699187,"C",1.88918131635349,"1-15",5.40227744981826,21,-3.51309613346477
"230",2,"LAC","Tyson Chandler",19,1160,0.597,0,0.644,27.3,8.2,9,0.8,102.1,0.155,"0.1",16.9,2199,0.543,1.151,1.428,1558,0.744544287548139,"C",2.49465523526322,"1-15",4.31202007317063,20,-1.81736483790741
"231",3,"ATL","Pau Gasol",18,1226,0.507,0.368,0.753,33.4,17,9.2,3.2,144.1,0.169,"3.6",57.5,2200,0.494,1.583,2.152,1476,0.830623306233062,"C",4.8182560483115,"1-15",5.18058806678938,21,-0.362332018477884
"232",4,"CHI","Eddy Curry",11,527,0.545,1,0.642,24.9,12.9,5.2,0.5,21.7,0.08,"-2.4",-1.3,2201,0.294,0.729,2.228,902,0.584257206208426,"C",2.64142831930813,"1-15",4.84432781908783,21,-2.2028994997797
"233",5,"GSW","Jason Richardson",13,857,0.438,0.37,0.707,34.1,17.1,5,2.7,59.1,0.097,"1.2",23.8,2202,1.161,0.428,1.754,1066,0.803939962476548,"G",6.44307044995615,"1-15",4.12639751013355,21,2.3166729398226
"234",6,"MEM","Shane Battier",13,977,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,"1.7",28.2,2203,1.011,0.927,0.899,1066,0.916510318949343,"F",3.23389791048824,"1-15",3.75387095989043,21,-0.519973049402193
"235",7,"NJN","Eddie Griffin",5,303,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,0.078,"-0.4",2.8,2204,0.347,1.71,0.749,410,0.739024390243902,"C",2.16762362407466,"1-15",4.39397812840409,21,-2.15843285890542
"236",8,"CLE","DeSagana Diop",12,601,0.427,0.167,0.467,14,2,3.7,0.4,12.8,0.073,"-1.9",0.2,2205,0.378,1.048,0.591,984,0.610772357723577,"C",0.900400074545854,"1-15",3.46277602238357,20,-2.56237594783772
"237",9,"DET","Rodney White",4,218,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026,"-2.2",-0.1,2206,0.541,0.298,1.307,328,0.664634146341463,"F",2.33666888620312,"1-15",4.12142597603224,20,-1.78475708982912
"238",10,"BOS","Joe Johnson",18,1277,0.441,0.371,0.802,34.6,16,4,3.9,82.9,0.09,"0.4",26.5,2207,0.839,0.204,1.919,1476,0.865176151761518,"G",6.21698257561442,"1-15",3.85756897884724,21,2.35941359676718
"239",11,"BOS","Kedrick Brown",4,143,0.405,0.274,0.64,13.5,3.6,2.4,0.7,3,0.074,"-1.1",0.4,2208,0.594,0.196,0.448,328,0.435975609756098,"G",1.61501646605834,"1-15",2.79711748836319,20,-1.18210102230485
"240",12,"SEA","Vladimir Radmanovic",12,737,0.415,0.378,0.758,21.9,8,3.8,1.4,26.5,0.079,"-0.1",7.6,2209,0.729,0.357,1.136,984,0.748983739837398,"F",2.78867660046056,"1-15",2.48895296394094,19,0.299723636519616
"241",13,"HOU","Richard Jefferson",17,1181,0.464,0.376,0.768,29,12.6,4,2,83,0.116,"0.2",19.4,2210,0.666,0.294,1.497,1394,0.847202295552367,"F",4.23402048010429,"1-15",3.716678058383,21,0.517342421721287
"242",14,"GSW","Troy Murphy",12,729,0.445,0.388,0.785,27.3,10.8,7.8,1.5,50.3,0.121,"0.1",10.6,2211,0.656,0.403,1.215,984,0.740853658536585,"F",3.74087790488505,"1-15",3.25489603167226,21,0.485981873212786
"243",15,"ORL","Steven Hunter",8,400,0.56,0,0.485,15,4.5,3.2,0.2,10.6,0.085,"-2.3",-0.5,2212,0.122,1.055,0.623,656,0.609756097560976,"C",1.18798861330941,"1-15",3.12037900468881,20,-1.9323903913794
"244",17,"TOR","Michael Bradley",5,173,0.477,0.143,0.511,11.7,2.8,3.4,0.5,2,0.047,"-4",-1,2214,0.145,0.272,0.653,410,0.421951219512195,"F",1.04317211786068,"16-30",2.90041503188993,21,-1.85724291402925
"245",18,"HOU","Jason Collins",13,735,0.411,0.206,0.647,20.4,3.6,3.7,0.9,20.1,0.064,"-3.7",-6.5,2215,0.501,0.488,0.823,1066,0.689493433395872,"C",1.27081866135494,"16-30",2.94249623314111,19,-1.67167757178617
"246",19,"POR","Zach Randolph",17,1116,0.471,0.273,0.764,31,16.6,9.1,1.8,81.1,0.112,"0.2",18.8,2216,0.747,0.27,2.052,1394,0.800573888091822,"F",5.36936905670238,"16-30",2.72321618088366,19,2.64615287581872
"247",20,"CLE","Brendan Haywood",13,816,0.528,0,0.587,22.9,6.8,6,0.5,43.8,0.113,"-1.4",2.9,2217,0.392,1.359,1.043,1066,0.765478424015009,"C",1.92666079878222,"16-30",2.66942577373078,19,-0.742764974948554
"248",23,"HOU","Brandon Armstrong",3,108,0.352,0.333,0.6,6.5,2.2,0.6,0.2,-0.6,-0.039,"-8",-1,2220,0.204,0.037,0.343,246,0.439024390243902,"G",0.802906780651658,"16-30",2.8526232644035,19,-2.04971648375185
"249",25,"SAC","Gerald Wallace",14,832,0.469,0.312,0.709,29.7,11.9,5.8,2.1,59.7,0.116,"1.8",23.5,2222,1.442,0.819,1.786,1148,0.724738675958188,"F",4.17267517551337,"16-30",2.46676606636341,20,1.70590910914997
"250",26,"PHI","Samuel Dalembert",13,886,0.521,0.083,0.706,24.4,7.7,7.8,0.5,51.3,0.114,"-1.1",4.6,2223,0.493,1.745,1.435,1066,0.831144465290807,"C",2.23357020080136,"16-30",2.63290018518975,17,-0.399329984388385
