"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"377",3,"UTA","Deron Williams",12,845,0.445,0.357,0.822,34.2,16.3,3.1,8.1,77.3,0.129,"1.9",28.3,101114,1.026,0.244,2.843,984,0.858739837398374,"G",8.09936843238218
"378",4,"NOH","Chris Paul",20,1354,0.47,0.37,0.871,33.7,17,4.4,9.2,215.1,0.226,"6.6",98.9,101108,2.015,0.164,2.296,1640,0.825609756097561,"G",8.83070427582786
"379",5,"CHA","Raymond Felton",14,971,0.412,0.329,0.79,29.7,11.2,3,5.2,40.2,0.067,"-0.6",10.1,101109,1.178,0.213,2.068,1148,0.84581881533101,"G",5.67987421839706
"380",6,"POR","Martell Webster",10,580,0.418,0.382,0.791,24,8.7,3.1,1,24.7,0.085,"-0.8",4.3,101110,0.516,0.276,0.924,820,0.707317073170732,"F",2.64883708475076
"381",7,"TOR","Charlie Villanueva",11,656,0.435,0.341,0.772,20.7,10.4,4.6,0.8,22.6,0.08,"-0.6",4.7,101111,0.502,0.532,0.991,902,0.727272727272727,"F",3.09945131961889
"382",8,"NYK","Channing Frye",13,890,0.44,0.388,0.822,22.2,8.7,4.5,1,38.9,0.094,"-0.4",8,101112,0.513,0.607,0.884,1066,0.834896810506567,"F",2.7696239133446
"383",9,"GSW","Ike Diogu",6,225,0.509,0.5,0.786,12.4,6,3.1,0.3,6.5,0.112,"-3",-0.7,101113,0.16,0.289,0.889,492,0.457317073170732,"F",1.69808298620986
"384",10,"LAL","Andrew Bynum",8,418,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,0.168,"1.4",9.1,101115,0.318,1.572,1.541,656,0.63719512195122,"C",3.06940674539207
"385",13,"CHA","Sean May",4,119,0.458,0.231,0.746,15.7,6.9,4,1,2.6,0.068,"-1.7",0.2,101118,0.445,0.395,1.126,328,0.36280487804878,"C",1.80247326721923
"386",14,"MIN","Rashad McCants",4,249,0.431,0.368,0.741,20.2,10,2,1.3,3.6,0.035,"-1.7",0.4,101119,0.735,0.245,1.454,328,0.759146341463415,"G",4.31581506125185
"387",15,"NJN","Antoine Wright",6,297,0.412,0.304,0.674,19.2,5.4,2.3,1,3.1,0.026,"-3.7",-2.4,101120,0.468,0.242,0.764,492,0.603658536585366,"F",1.79800435300898
